Date	Max Temp (C)	Min Temp (C)	Mean Temp (C)	Total Rain (mm)	Total Snow (cm)	pais	region	detalle	nota
1/1/2014	-16.5	-24.6	-20.6	0	0	Argentina	Sudamerica	AAA	sin observaciones
2/1/2014	-22.6	-27.3	-25	0	1.4	Argentina	Sudamerica	AAA	
3/1/2014	-19.2	-24.3	-21.8	0	0	Argentina	Sudamerica	AAA	medida difusa
4/1/2014	-8.6	-23.3	-16	0	0	Argentina	Sudamerica	BBB	con error
5/1/2014	0.3	-12.6	-6.2	12.2	1.8	Argentina	Sudamerica	BBB	sin observaciones
6/1/2014	7.1	-11.1	-2	14.3	0.4	Argentina	Sudamerica	BBB	sin observaciones
7/1/2014	-11.1	-16.6	-13.9	0	0.2	Argentina	Sudamerica	CCC	sin observaciones
8/1/2014	-8.7	-14.7	-11.7	0	0	Argentina	Sudamerica	CCC	sin observaciones
9/1/2014	-7.8	-12.3	-10.1	0	0	Argentina	Sudamerica	CCC	sin observaciones
10/1/2014	-4.5	-14.2	-9.4	0	0	Argentina	Sudamerica	DDD	sin observaciones
11/1/2014	7.3	-6.4	0.5	6.2	0	Argentina	Sudamerica	DDD	sin observaciones
12/1/2014	4.5	0.3	2.4	0	0	Argentina	Sudamerica	EEE	sin observaciones
13/1/2014	5.1	-0.9	2.1	0	0	Argentina	Sudamerica	EEE	sin observaciones
14/1/2014	4.2	-1.3	1.5	5.4	0	Argentina	Sudamerica	FFF	sin observaciones
15/1/2014	1.9	-4.1	-1.1	0.2	0	Argentina	Sudamerica	FFF	sin observaciones
16/1/2014	-0.5	-5.1	-2.8	0	0	Argentina	Sudamerica		sin observaciones
17/1/2014	0.6	-5.2	-2.3	0	0.6	Argentina	Sudamerica	GGG	sin observaciones
18/1/2014	2.4	-7	-2.3	0	0.2	Argentina	Sudamerica	GGG	sin observaciones
19/1/2014	-2.2	-6.4	-4.3	0	1.4	Argentina	Sudamerica	ZZZ	sin observaciones
20/1/2014	-6.4	-20.7	-13.6	0	1.6	Argentina	Sudamerica	ZZZ	sin observaciones
21/1/2014	-19.1	-23.8	-21.5	0	0	Argentina	Sudamerica	PPP	sin observaciones
22/1/2014	-17.6	-25.4	-21.5	0	0	Argentina	Sudamerica	OOO	sin observaciones
23/1/2014	-17.5	-23.2	-20.4	0	0	Argentina	Sudamerica	KKK	sin observaciones
24/1/2014	-9.7	-23.8	-16.8	0	0	Argentina	Sudamerica	HHH	sin observaciones
25/1/2014	-5.3	-15.5	-10.4	0	2	Argentina	Sudamerica	YYY	sin observaciones
26/1/2014	-13.8	-21.5	-17.7	0	0.4	Argentina	Sudamerica		sin observaciones
27/1/2014	-6.4	-17.9	-12.2	0	5.6	Argentina	Sudamerica	TTT	sin observaciones
28/1/2014	-10.8	-19.9	-15.4	0	0	Argentina	Sudamerica	RRR	sin observaciones
29/1/2014	-9.6	-14.2	-11.9	0	0	Argentina	Sudamerica	JJJ	sin observaciones
30/1/2014	-4.4	-12.7	-8.6	0	0	Argentina	Sudamerica	WWW	sin observaciones
31/1/2014	1.3	-7.1	-2.9	0	0	Argentina	Sudamerica	QQQ	sin observaciones
1/2/2014	-1.3	-10.9	-6.1	0	12	Argentina	Sudamerica	NNN	sin observaciones
2/2/2014	-1.1	-7.9	-4.5	0	4.6	Argentina	Sudamerica	NNN	sin observaciones
3/2/2014	-6.9	-15.3	-11.1	0	0	Argentina	Sudamerica	NNN	sin observaciones
4/2/2014	-6.1	-16.8	-11.5	0	0	Argentina	Sudamerica	AAA	sin observaciones
5/2/2014	-7.9	-15.6	-11.8	0	5.4	Argentina	Sudamerica	AAA	sin observaciones
6/2/2014	-9.3	-20	-14.7	0	0.4	Argentina	Sudamerica	AAA	sin observaciones
7/2/2014	-7.6	-12.9	-10.3	0	0	Argentina	Sudamerica	BBB	sin observaciones
8/2/2014	-5.7	-12.3	-9	0	0	Argentina	Sudamerica	BBB	sin observaciones
9/2/2014	-7.1	-12.5	-9.8	0	1.4	Argentina	Sudamerica	BBB	sin observaciones
10/2/2014	-6.8	-16.1	-11.5	0	0.4	Argentina	Sudamerica	CCC	sin observaciones
11/2/2014	-11.1	-19.6	-15.4	0	0	Argentina	Sudamerica	CCC	sin observaciones
12/2/2014	-9.8	-23.1	-16.5	0	0	Argentina	Sudamerica	CCC	sin observaciones
13/2/2014	-6.1	-18.4	-12.3	0	2	Argentina	Sudamerica	DDD	sin observaciones
14/2/2014	-2.2	-6.1	-4.2	0	12.4	Argentina	Sudamerica	DDD	sin observaciones
15/2/2014	-5.6	-11.8	-8.7	0	0	Argentina	Sudamerica	EEE	sin observaciones
16/2/2014	-9.5	-15.8	-12.7	0	0	Argentina	Sudamerica	EEE	sin observaciones
17/2/2014	-9.9	-17.4	-13.7	0	0	Argentina	Sudamerica	FFF	sin observaciones
18/2/2014	-3.4	-15.6	-9.5	0	2.4	Argentina	Sudamerica	FFF	sin observaciones
19/2/2014	1.5	-5.4	-2	0	0	Argentina	Sudamerica		sin observaciones
20/2/2014	2.8	-4.9	-1.1	0	0	Argentina	Sudamerica	GGG	sin observaciones
21/2/2014	4.2	-0.6	1.8	19.2	0	Argentina	Sudamerica	GGG	sin observaciones
22/2/2014	6.1	-1.8	2.2	0	0	Argentina	Sudamerica	ZZZ	sin observaciones
23/2/2014	1.7	-4.3	-1.3	0	0	Argentina	Sudamerica	ZZZ	sin observaciones
